CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
1.678,0.0256,0.53781,0.0026,-0.0026,Damiano et al. 2024,0.07334,0.00018,-0.00018,Calculated,0.1541,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.7038,0.026,0.54223,0.00267,-0.00267,Damiano et al. 2024,0.07364,0.00018,-0.00018,Calculated,0.1547,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.7301,0.0265,0.53968,0.00288,-0.00288,Damiano et al. 2024,0.07346,0.0002,-0.0002,Calculated,0.1543,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.7567,0.0268,0.54529,0.00284,-0.00284,Damiano et al. 2024,0.07384,0.00019,-0.00019,Calculated,0.1551,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.7837,0.0272,0.53275,0.00284,-0.00284,Damiano et al. 2024,0.07299,0.00019,-0.00019,Calculated,0.1533,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.8112,0.0277,0.55163,0.00277,-0.00277,Damiano et al. 2024,0.07427,0.00019,-0.00019,Calculated,0.156,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.839,0.028,0.54539,0.00269,-0.00269,Damiano et al. 2024,0.07385,0.00018,-0.00018,Calculated,0.1552,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.8672,0.0285,0.54544,0.00266,-0.00266,Damiano et al. 2024,0.07385,0.00018,-0.00018,Calculated,0.1552,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.896,0.029,0.54982,0.00266,-0.00266,Damiano et al. 2024,0.07415,0.00018,-0.00018,Calculated,0.1558,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.9252,0.0294,0.54663,0.00259,-0.00259,Damiano et al. 2024,0.07393,0.00018,-0.00018,Calculated,0.1553,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.9548,0.0298,0.54223,0.00253,-0.00253,Damiano et al. 2024,0.07364,0.00017,-0.00017,Calculated,0.1547,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
1.9849,0.0303,0.54464,0.00255,-0.00255,Damiano et al. 2024,0.0738,0.00017,-0.00017,Calculated,0.1551,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.0154,0.0308,0.54736,0.00252,-0.00252,Damiano et al. 2024,0.07398,0.00017,-0.00017,Calculated,0.1554,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.0464,0.0312,0.54707,0.00248,-0.00248,Damiano et al. 2024,0.07396,0.00017,-0.00017,Calculated,0.1554,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.0779,0.0318,0.54499,0.00251,-0.00251,Damiano et al. 2024,0.07382,0.00017,-0.00017,Calculated,0.1551,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.1099,0.0322,0.53813,0.00243,-0.00243,Damiano et al. 2024,0.07336,0.00017,-0.00017,Calculated,0.1541,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.1423,0.0327,0.54568,0.00238,-0.00238,Damiano et al. 2024,0.07387,0.00016,-0.00016,Calculated,0.1552,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.1753,0.0332,0.54575,0.0024,-0.0024,Damiano et al. 2024,0.07388,0.00016,-0.00016,Calculated,0.1552,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.2088,0.0337,0.54378,0.00419,-0.00419,Damiano et al. 2024,0.07374,0.00028,-0.00028,Calculated,0.1549,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.2836,0.0349,0.54296,0.00228,-0.00228,Damiano et al. 2024,0.07369,0.00015,-0.00015,Calculated,0.1548,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.3188,0.0354,0.53785,0.00242,-0.00242,Damiano et al. 2024,0.07334,0.00016,-0.00017,Calculated,0.1541,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.3544,0.0359,0.54385,0.00244,-0.00244,Damiano et al. 2024,0.07375,0.00017,-0.00017,Calculated,0.1549,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.3906,0.0365,0.54996,0.00254,-0.00254,Damiano et al. 2024,0.07416,0.00017,-0.00017,Calculated,0.1558,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.4275,0.0371,0.54278,0.00262,-0.00262,Damiano et al. 2024,0.07367,0.00018,-0.00018,Calculated,0.1548,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.4648,0.0376,0.5439,0.00275,-0.00275,Damiano et al. 2024,0.07375,0.00019,-0.00019,Calculated,0.1549,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.5027,0.0382,0.54339,0.00288,-0.00288,Damiano et al. 2024,0.07372,0.0002,-0.0002,Calculated,0.1549,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.5412,0.0388,0.54323,0.00298,-0.00298,Damiano et al. 2024,0.0737,0.0002,-0.0002,Calculated,0.1548,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.5803,0.0394,0.54309,0.00302,-0.00302,Damiano et al. 2024,0.07369,0.0002,-0.00021,Calculated,0.1548,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.62,0.04,0.55346,0.00309,-0.00309,Damiano et al. 2024,0.07439,0.00021,-0.00021,Calculated,0.1563,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.6603,0.0406,0.54941,0.00302,-0.00302,Damiano et al. 2024,0.07412,0.0002,-0.0002,Calculated,0.1557,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.7012,0.0413,0.54613,0.00322,-0.00322,Damiano et al. 2024,0.0739,0.00022,-0.00022,Calculated,0.1553,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
