CENTRALWAVELNG,PL_TRANDEP
1.13,0.25532
1.139,0.25812
1.149,0.2694
1.153,0.26021
1.158,0.26385
1.158,0.26766
1.172,0.27661
1.177,0.26729
1.177,0.2602
1.181,0.26543
1.191,0.27161
1.196,0.26972
1.196,0.27424
1.205,0.26367
1.21,0.26331
1.214,0.26693
1.219,0.27194
1.224,0.26563
1.228,0.25087
1.233,0.24505
1.233,0.24939
1.238,0.25112
1.242,0.25042
1.252,0.25506
1.252,0.2525
1.257,0.24985
1.261,0.25932
1.266,0.2591
1.271,0.25849
1.275,0.25704
1.285,0.24484
1.289,0.25225
1.289,0.25195
1.294,0.2596
1.299,0.26422
1.303,0.2664
1.308,0.25559
1.313,0.24608
1.318,0.24614
1.346,0.26699
1.35,0.26699
1.355,0.24667
1.364,0.25132
1.364,0.25617
1.374,0.26203
1.383,0.26067
1.388,0.25929
1.393,0.23787
1.397,0.25959
1.402,0.25164
1.402,0.24703
1.407,0.23908
1.416,0.25588
1.421,0.24458
1.426,0.23361
1.43,0.24118
1.44,0.24694
1.44,0.24497
1.444,0.24695
1.458,0.23663
1.458,0.229
1.463,0.24453
1.468,0.242
1.477,0.24788
1.482,0.25403
1.496,0.24495
1.496,0.24423
1.501,0.24565
1.505,0.23331
1.51,0.233
1.515,0.23785
1.515,0.24696
1.524,0.27374
1.529,0.26541
1.533,0.26801
1.538,0.26458
1.552,0.25096
1.552,0.25507
1.557,0.25916
1.571,0.24798
1.576,0.24798
1.58,0.23146
1.59,0.22903
1.59,0.2343
1.594,0.24229
1.599,0.2237
1.604,0.23776
1.609,0.24097
1.609,0.24061
1.613,0.25258
1.618,0.24829
1.623,0.24923
1.627,0.24923
1.637,0.26257
